filename,text
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-014639.wav,IT WAS ONLY WHEN I GOT THIS CLOSE TO IT THAT THE STRANGENESS OF IT WAS AT ALL EVIDENT TO ME
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-015052.wav,'M ALL ABOUT THOSE INVISIBLE COSMIC CONNECTIONS THAT TRANSCEND TIME AND DISTANCE
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-018844.wav,EVERYONE ON EARTH HAS A TREASURE THAT AWAITS HIM HIS HEART SAID
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-042774.wav,YOU LIVED YOUR LIFE IN A LOVING WAY AND DIED WITH DIGNITY
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-045687.wav,THE SHOP WAS BUSY AND THE MAN ASKED THE SHEPHERD TO WAIT UNTIL THE AFTERNOON
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-049336.wav,THE ENGLISHMAN WAS UNABLE TO SLEEP ONE NIGHT
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-050672.wav,THERE'S ONE THAT SAYS 'EVERYTHING THAT HAPPENS ONCE CAN NEVER HAPPEN AGAIN
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-060119.wav,THEY PLACED THE SYMBOLS OF THE PILGRIMAGE ON THE DOORS OF THEIR HOUSES
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-062939.wav,THE BOY WAS SURPRISED
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-062957.wav,MARY TOLD ME THAT SHE GOT TO MEET UP WITH YOU WHILE SHE WAS BACK IN SAN FRANCISCO
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-063061.wav,'M ALL ABOUT THOSE INVISIBLE COSMIC CONNECTIONS THAT TRANSCEND TIME AND DISTANCE
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-067070.wav,YOU MUST ALWAYS KNOW WHAT IT IS THAT YOU WANT THE OLD KING HAD SAID
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-067254.wav,THEY DIDN'T HAVE THE PRINTING PRESS IN THOSE DAYS THE BOY ARGUED
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-069162.wav,GO AND SPEAK TO THE TRIBAL CHIEFTAINS SAID THE CAMEL DRIVER
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-074965.wav,A BOY CAME RUNNING TOWARDS ME
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-077105.wav,AND DON'T FORGET THE LANGUAGE OF OMENS
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-084282.wav,STOP TREATING ME LIKE A CHILD
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-094931.wav,SOME WENT AWAY WHILE I WAS THERE AND OTHER PEOPLE CAME
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-095686.wav,I HEARD A FAINT MOVEMENT UNDER MY FEET
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-101301.wav,YOU ARE ALMOST AT THE END OF YOUR JOURNEY SAID THE ALCHEMIST
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-139037.wav,AMONG THESE PEOPLE WERE A COUPLE OF CYCLISTS A GARDENER I EMPLOYED SOMETIMES AND A GIRL CARRYING A BABY
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-145656.wav,IT SPREAD THROUGH THE PLANET'S ATMOSPHERE AND OBSCURED ITS MORE FAMILIAR FEATURES
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-155130.wav,THE DESERT WITH ITS ENDLESS MONOTONY PUT HIM TO DREAMING
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-158236.wav,THEY WERE RELIEVED AND HAPPY
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-159514.wav,IT WAS SUCH A GRADUAL MOVEMENT THAT HE FOUND IT ONLY BY NOTICING THE DOTS
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-166669.wav,THE WIND TOLD ME THAT YOU KNOW ABOUT LOVE THE BOY SAID TO THE SUN
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-170059.wav,IF YOU START YOUR EMAILS WITH GREETINGS LET ME BE THE FIRST TO WELCOME YOU TO EARTH
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-172989.wav,IT SOUNDED AS IF YOU SAID NO CHARGE
/home/tfc/asr_project/common_voice/cv-valid-train/cv-valid-train/sample-190931.wav,BUT ONLY SPEAK A WORD AND MY SERVANT WILL BE HEALED
